コレ ハ,コレ ワ
＋,プラス
+,プラス
？,?
！,!
，,.
、,.
。,.
ー, 
-, 
0,ゼロ
1,イチ
2,ニ
3,サン
4,ヨン
5,ゴ
6,ロク
7,シチ
8,ハチ
9,キュー
キャ,kya
キュ,kyu
キョ,kyo
シャ,sha
シュ,shu
ショ,sho
チャ,cha
ニャ,nya
ニュ,nyu
ニョ,nyo
ミャ,mya
ア,a
イ,y
ウ,u
エ,a
オ,o
カ,ka
キ,key
ク,ku
ケ,ke
コ,ko
サ,sa
シ,she
ス,su
セ,say
ソ,so
タ,ta
チ,chi
ツ,two
テ,te
ト,toe
ナ,na
ニ,knee
ヌ,nu
ネ,ne
ノ,no
ハ,ha
ヒ,he
フ,who
ヘ,hey
ホ,ho
マ,ma
ミ,me
ム,mu
メ,me
モ,mo
ヤ,ya
ユ,yu
ヨ,yo
ラ,ra
リ,ree
ル,ru
レ,re
ロ,ro
ワ,wa
ヲ,wo
ン,n
ヴ,vu
ガ,ga
ギ,ge
グ,gwu
ゲ,gee
ゴ,go
ザ,za
ジ,zi
ズ,zo
ゼ,ze
ゾ,zu
ダ,da
ヂ,di
ヅ,du
デ,de
ド,do
バ,ba
ビ,be
ブ,bu
ベ,bwe
ボ,bo
パ,pa
ピ,pe
プ,pu
ペ,pwe
ポ,po
ァ,a
ィ,i
ゥ,u
ェ,e
ォ,o
ヵ,k
ャ,y
ュ,y
ョ,y
ッ, 
yhara,y hara
yy,y
